filename,rel_path,case_id,court,date,eda_label,est_tokens
KS_Bratislava_13Cbi_38_2004_00_dokument.pdf,data/01_raw_pdfs/13Cbi_38_2004/KS_Bratislava_13Cbi_38_2004_00_dokument.pdf,13Cbi/38/2004,KS Bratislava,2006-12-12,1_GOLD_MODERATION,6581
KS_Bratislava_5Cob_216_2024_00_dokument.pdf,data/01_raw_pdfs/5Cob_216_2024/KS_Bratislava_5Cob_216_2024_00_dokument.pdf,5Cob/216/2024,KS Bratislava,2024-11-27,1_GOLD_MODERATION,3911
KS_Nitra_26Cob_54_2019_00_dokument.pdf,data/01_raw_pdfs/26Cob_54_2019/KS_Nitra_26Cob_54_2019_00_dokument.pdf,26Cob/54/2019,KS Nitra,2019-12-05,4_CIVIL_NOISE_LIKELY,15500
KS_Prešov_4Cob_83_2011_00_dokument.pdf,data/01_raw_pdfs/4Cob_83_2011/KS_Prešov_4Cob_83_2011_00_dokument.pdf,4Cob/83/2011,KS Prešov,2012-01-17,1_GOLD_MODERATION,6428
KS_Bratislava_1Cob_40_2018_00_dokument.pdf,data/01_raw_pdfs/1Cob_40_2018/KS_Bratislava_1Cob_40_2018_00_dokument.pdf,B2-22Cb/100/2011,KS Bratislava,2019-06-13,1_GOLD_MODERATION,6897
KS_Košice_4Cob_77_2017_00_dokument.pdf,data/01_raw_pdfs/4Cob_77_2017/KS_Košice_4Cob_77_2017_00_dokument.pdf,4Cob/77/2017,KS Košice,2017-08-09,1_GOLD_MODERATION,3459
KS_Trenčín_8Cob_64_2011_00_dokument.pdf,data/01_raw_pdfs/8Cob_64_2011/KS_Trenčín_8Cob_64_2011_00_dokument.pdf,BN-3Cb/27/2010,KS Trenčín,2012-01-26,1_GOLD_MODERATION,2510
KS_Košice_2Cob_174_2011_00_dokument.pdf,data/01_raw_pdfs/2Cob_174_2011/KS_Košice_2Cob_174_2011_00_dokument.pdf,2Cob/174/2011,KS Košice,2012-03-29,1_GOLD_MODERATION,3304
KS_Nitra_15Cob_7_2013_00_dokument.pdf,data/01_raw_pdfs/15Cob_7_2013/KS_Nitra_15Cob_7_2013_00_dokument.pdf,15Cob/7/2013,KS Nitra,2013-04-24,1_GOLD_MODERATION,3700
KS_Banská_Bystrica_41Cob_31_2022_00_dokument.pdf,data/01_raw_pdfs/41Cob_31_2022/KS_Banská_Bystrica_41Cob_31_2022_00_dokument.pdf,BR-2Cb/8/2020,KS Banská Bystrica,2022-10-19,1_GOLD_MODERATION,15542
KS_Nitra_26Cob_22_2018_00_dokument.pdf,data/01_raw_pdfs/26Cob_22_2018/KS_Nitra_26Cob_22_2018_00_dokument.pdf,B1-24Ro/315/2010,KS Nitra,2018-11-29,3_PENALTY_NO_MODERATION,10072
KS_Banská_Bystrica_41Cob_42_2010_00_dokument.pdf,data/01_raw_pdfs/41Cob_42_2010/KS_Banská_Bystrica_41Cob_42_2010_00_dokument.pdf,41Cob/42/2010,KS Banská Bystrica,2011-12-21,1_GOLD_MODERATION,15456
KS_Bratislava_4Cob_16_2018_00_dokument.pdf,data/01_raw_pdfs/4Cob_16_2018/KS_Bratislava_4Cob_16_2018_00_dokument.pdf,B1-31Cb/158/2015,KS Bratislava,2019-05-30,1_GOLD_MODERATION,6856
KS_Žilina_13Cob_53_2016_00_dokument.pdf,data/01_raw_pdfs/13Cob_53_2016/KS_Žilina_13Cob_53_2016_00_dokument.pdf,13Cob/53/2016,KS Žilina,2016-06-29,1_GOLD_MODERATION,8699
KS_Banská_Bystrica_41Cob_3_2025_00_dokument.pdf,data/01_raw_pdfs/41Cob_3_2025/KS_Banská_Bystrica_41Cob_3_2025_00_dokument.pdf,CA-16C/38/2022,KS Banská Bystrica,2025-09-10,1_GOLD_MODERATION,10345
KS_Bratislava_1Cob_287_2014_00_dokument.pdf,data/01_raw_pdfs/1Cob_287_2014/KS_Bratislava_1Cob_287_2014_00_dokument.pdf,B2-26Cb/55/2013,KS Bratislava,2016-11-28,1_GOLD_MODERATION,7330
KS_Trenčín_8Cob_112_2021_00_dokument.pdf,data/01_raw_pdfs/8Cob_112_2021/KS_Trenčín_8Cob_112_2021_00_dokument.pdf,8Cob/112/2021,KS Trenčín,2022-06-22,1_GOLD_MODERATION,16590
KS_Prešov_6CoZm_1_2019_00_dokument.pdf,data/01_raw_pdfs/6CoZm_1_2019/KS_Prešov_6CoZm_1_2019_00_dokument.pdf,6CoZm/1/2019,KS Prešov,2020-01-30,1_GOLD_MODERATION,9360
KS_Bratislava_2Cob_38_2016_00_dokument.pdf,data/01_raw_pdfs/2Cob_38_2016/KS_Bratislava_2Cob_38_2016_00_dokument.pdf,B1-52Ro/477/2014,KS Bratislava,2017-05-23,1_GOLD_MODERATION,6211
KS_Prešov_3Cob_46_2018_00_dokument.pdf,data/01_raw_pdfs/3Cob_46_2018/KS_Prešov_3Cob_46_2018_00_dokument.pdf,3Cob/46/2018,KS Prešov,2018-11-08,1_GOLD_MODERATION,7702
